hs_section_name,date,year,month,weighted_share_rerouted
Machinery and mechanical appliances,2015-03-01,2015,3,18.975890150146533
Machinery and mechanical appliances,2015-04-01,2015,4,18.505520935131557
Machinery and mechanical appliances,2015-05-01,2015,5,20.011298122557296
Machinery and mechanical appliances,2015-06-01,2015,6,19.913182498457903
Machinery and mechanical appliances,2015-07-01,2015,7,19.755557822976115
Machinery and mechanical appliances,2015-08-01,2015,8,18.935463127031095
Machinery and mechanical appliances,2015-09-01,2015,9,19.846984150844825
Machinery and mechanical appliances,2015-10-01,2015,10,19.54448080842174
Machinery and mechanical appliances,2015-11-01,2015,11,19.440233680633977
Machinery and mechanical appliances,2015-12-01,2015,12,18.77351204358316
Machinery and mechanical appliances,2016-01-01,2016,1,19.062501012457783
Machinery and mechanical appliances,2016-02-01,2016,2,20.53991520707112
Machinery and mechanical appliances,2016-03-01,2016,3,19.330997204315704
Machinery and mechanical appliances,2016-04-01,2016,4,19.427367992203596
Machinery and mechanical appliances,2016-05-01,2016,5,19.535438704937295
Machinery and mechanical appliances,2016-06-01,2016,6,19.598013112889664
Machinery and mechanical appliances,2016-07-01,2016,7,19.226817030972327
Machinery and mechanical appliances,2016-08-01,2016,8,20.22562801936882
Machinery and mechanical appliances,2016-09-01,2016,9,20.018114614287484
Machinery and mechanical appliances,2016-10-01,2016,10,19.194115073124514
Machinery and mechanical appliances,2016-11-01,2016,11,19.891841776867306
Machinery and mechanical appliances,2016-12-01,2016,12,18.474357949960325
Machinery and mechanical appliances,2017-01-01,2017,1,19.747885785017953
Machinery and mechanical appliances,2017-02-01,2017,2,18.714397091782814
Machinery and mechanical appliances,2017-03-01,2017,3,20.885725799119676
Machinery and mechanical appliances,2017-04-01,2017,4,18.45610690102803
Machinery and mechanical appliances,2017-05-01,2017,5,21.829572283996995
Machinery and mechanical appliances,2017-06-01,2017,6,19.98429655452896
Machinery and mechanical appliances,2017-07-01,2017,7,20.043710962554982
Machinery and mechanical appliances,2017-08-01,2017,8,21.762688590609656
Machinery and mechanical appliances,2017-09-01,2017,9,20.23117487436179
Machinery and mechanical appliances,2017-10-01,2017,10,20.227393898453446
Machinery and mechanical appliances,2017-11-01,2017,11,20.208810968062213
Machinery and mechanical appliances,2017-12-01,2017,12,19.115584073965966
Machinery and mechanical appliances,2018-01-01,2018,1,19.935221299626352
Machinery and mechanical appliances,2018-02-01,2018,2,20.700583953368486
Machinery and mechanical appliances,2018-03-01,2018,3,19.285022481159245
Machinery and mechanical appliances,2018-04-01,2018,4,20.303137409205455
Machinery and mechanical appliances,2018-05-01,2018,5,20.775619090559886
Machinery and mechanical appliances,2018-06-01,2018,6,19.93401882111751
Machinery and mechanical appliances,2018-07-01,2018,7,20.055526522298614
Machinery and mechanical appliances,2018-08-01,2018,8,20.945608587861297
Machinery and mechanical appliances,2018-09-01,2018,9,19.849797941536416
Machinery and mechanical appliances,2018-10-01,2018,10,20.077961646071206
Machinery and mechanical appliances,2018-11-01,2018,11,20.55548190536024
Machinery and mechanical appliances,2018-12-01,2018,12,19.363645014898093
Machinery and mechanical appliances,2019-01-01,2019,1,20.610740252256246
Machinery and mechanical appliances,2019-02-01,2019,2,20.57389837722469
Machinery and mechanical appliances,2019-03-01,2019,3,19.767965456015112
Machinery and mechanical appliances,2019-04-01,2019,4,18.92438079143411
Mineral products,2014-01-01,2014,1,2.0559057235365215
Mineral products,2014-02-01,2014,2,1.6704234481646218
Mineral products,2014-03-01,2014,3,7.216676166558573
Mineral products,2014-04-01,2014,4,5.434891197664041
Mineral products,2014-05-01,2014,5,3.3408468963292437
Mineral products,2014-06-01,2014,6,6.403818681667754
Mineral products,2014-07-01,2014,7,1.5721632153447747
Mineral products,2014-08-01,2014,8,0.0
Mineral products,2014-09-01,2014,9,1.6704234481646218
Mineral products,2014-10-01,2014,10,1.5721632153447747
Mineral products,2014-11-01,2014,11,2.0559057235365215
Mineral products,2014-12-01,2014,12,2.0559057235365215
Mineral products,2015-01-01,2015,1,0.0
Mineral products,2015-02-01,2015,2,2.2782372387909904
Mineral products,2015-03-01,2015,3,5.536909998654877
Mineral products,2015-04-01,2015,4,1.484820786171577
Mineral products,2015-05-01,2015,5,0.0
Mineral products,2015-06-01,2015,6,3.563569937789063
Mineral products,2015-07-01,2015,7,2.969641572343154
Mineral products,2015-08-01,2015,8,0.0
Mineral products,2015-09-01,2015,9,2.4727237321710676
Mineral products,2015-10-01,2015,10,4.454462358514731
Mineral products,2015-11-01,2015,11,3.818110702249651
Mineral products,2015-12-01,2015,12,0.0
Mineral products,2016-01-01,2016,1,0.0
Mineral products,2016-02-01,2016,2,0.02150846082428095
Mineral products,2016-03-01,2016,3,0.0
Mineral products,2016-04-01,2016,4,0.0
Mineral products,2016-05-01,2016,5,0.0
Mineral products,2016-06-01,2016,6,7.267138115202155
Mineral products,2016-07-01,2016,7,0.02016222812561194
Mineral products,2016-08-01,2016,8,0.0
Mineral products,2016-09-01,2016,9,0.0
Mineral products,2016-10-01,2016,10,0.0
Mineral products,2016-11-01,2016,11,5.434891197664041
Mineral products,2016-12-01,2016,12,0.0
Mineral products,2017-01-01,2017,1,0.023321213478451293
Mineral products,2017-02-01,2017,2,0.021243656478356646
Mineral products,2017-03-01,2017,3,0.0
Mineral products,2017-04-01,2017,4,0.0
Mineral products,2017-05-01,2017,5,0.009192141831129454
Mineral products,2017-06-01,2017,6,2.23757440382312
Mineral products,2017-07-01,2017,7,0.01064743659604407
Mineral products,2017-08-01,2017,8,0.011677833992247201
Mineral products,2017-09-01,2017,9,0.02097158067747313
Mineral products,2017-10-01,2017,10,0.0
Mineral products,2017-11-01,2017,11,0.0
Mineral products,2017-12-01,2017,12,0.021243656478356646
Mineral products,2018-01-01,2018,1,0.02158647178294746
Mineral products,2018-02-01,2018,2,0.021563105124610224
Mineral products,2018-03-01,2018,3,0.020505043430202752
Mineral products,2018-04-01,2018,4,0.0
Mineral products,2018-05-01,2018,5,2.2272311792573656
Mineral products,2018-06-01,2018,6,2.979984796908908
Mineral products,2018-07-01,2018,7,0.013434668573866304
Mineral products,2018-08-01,2018,8,0.010915668528566153
Mineral products,2018-09-01,2018,9,0.011677833992247201
Mineral products,2018-10-01,2018,10,2.9882276768842644
Mineral products,2018-11-01,2018,11,2.969641572343154
Mineral products,2018-12-01,2018,12,0.0
Mineral products,2019-01-01,2019,1,0.0
Mineral products,2019-02-01,2019,2,0.011643379486204091
Mineral products,2019-03-01,2019,3,2.4126073724519554
Mineral products,2019-04-01,2019,4,2.6939364101577152
Misc manufactured articles,2014-01-01,2014,1,3.6303522041505496
Misc manufactured articles,2014-02-01,2014,2,3.501834688667167
Misc manufactured articles,2014-03-01,2014,3,2.850193316886627
Misc manufactured articles,2014-04-01,2014,4,3.2983368662459434
Misc manufactured articles,2014-05-01,2014,5,3.396860722823232
Misc manufactured articles,2014-06-01,2014,6,4.260832221028738
Misc manufactured articles,2014-07-01,2014,7,4.5364983347284
Misc manufactured articles,2014-08-01,2014,8,4.544712297876957
Misc manufactured articles,2014-09-01,2014,9,4.0461826827914225
Misc manufactured articles,2014-10-01,2014,10,4.51187263066545
Misc manufactured articles,2014-11-01,2014,11,4.095865618825976
Misc manufactured articles,2014-12-01,2014,12,4.189722408204952
Misc manufactured articles,2015-01-01,2015,1,4.1140301617753225
Misc manufactured articles,2015-02-01,2015,2,4.905998695355993
Misc manufactured articles,2015-03-01,2015,3,4.7680814442363815
Misc manufactured articles,2015-04-01,2015,4,4.300343174570593
Misc manufactured articles,2015-05-01,2015,5,4.205158653425556
Misc manufactured articles,2015-06-01,2015,6,4.725660232936454
Misc manufactured articles,2015-07-01,2015,7,5.346542425134713
Misc manufactured articles,2015-08-01,2015,8,4.095814921254216
Misc manufactured articles,2015-09-01,2015,9,3.4817286779896404
Misc manufactured articles,2015-10-01,2015,10,3.8350046175960166
Misc manufactured articles,2015-11-01,2015,11,4.18167794425417
Misc manufactured articles,2015-12-01,2015,12,3.61882025566113
Misc manufactured articles,2016-01-01,2016,1,4.703968505503748
Misc manufactured articles,2016-02-01,2016,2,4.056226392785449
Misc manufactured articles,2016-03-01,2016,3,3.2123156452959574
Misc manufactured articles,2016-04-01,2016,4,3.676027869184867
Misc manufactured articles,2016-05-01,2016,5,4.31320341909898
Misc manufactured articles,2016-06-01,2016,6,4.467723437362677
Misc manufactured articles,2016-07-01,2016,7,5.124076925402516
Misc manufactured articles,2016-08-01,2016,8,4.736441525807073
Misc manufactured articles,2016-09-01,2016,9,4.702663189583003
Misc manufactured articles,2016-10-01,2016,10,4.317428810574271
Misc manufactured articles,2016-11-01,2016,11,4.872168220010264
Misc manufactured articles,2016-12-01,2016,12,4.7421896311058545
Misc manufactured articles,2017-01-01,2017,1,5.171907451290956
Misc manufactured articles,2017-02-01,2017,2,5.008116870132447
Misc manufactured articles,2017-03-01,2017,3,4.555519181378305
Misc manufactured articles,2017-04-01,2017,4,4.515493066920175
Misc manufactured articles,2017-05-01,2017,5,3.3683943271032044
Misc manufactured articles,2017-06-01,2017,6,4.527856804637147
Misc manufactured articles,2017-07-01,2017,7,4.621593430979899
Misc manufactured articles,2017-08-01,2017,8,5.449461291902258
Misc manufactured articles,2017-09-01,2017,9,6.167855072296947
Misc manufactured articles,2017-10-01,2017,10,4.285039008941492
Misc manufactured articles,2017-11-01,2017,11,4.873616830024744
Misc manufactured articles,2017-12-01,2017,12,4.264654553583133
Misc manufactured articles,2018-01-01,2018,1,4.021732805736852
Misc manufactured articles,2018-02-01,2018,2,4.68350966115591
Misc manufactured articles,2018-03-01,2018,3,4.3907431596261075
Misc manufactured articles,2018-04-01,2018,4,4.6906563084413255
Misc manufactured articles,2018-05-01,2018,5,5.910595286134203
Misc manufactured articles,2018-06-01,2018,6,5.06724115429473
Misc manufactured articles,2018-07-01,2018,7,5.226917325232356
Misc manufactured articles,2018-08-01,2018,8,6.378286656335072
Misc manufactured articles,2018-09-01,2018,9,3.669619430052492
Misc manufactured articles,2018-10-01,2018,10,5.616462328296652
Misc manufactured articles,2018-11-01,2018,11,4.239327925563563
Misc manufactured articles,2018-12-01,2018,12,4.344241623854772
Misc manufactured articles,2019-01-01,2019,1,4.073012314867392
Misc manufactured articles,2019-02-01,2019,2,4.135724698405781
Misc manufactured articles,2019-03-01,2019,3,4.717545554797882
Misc manufactured articles,2019-04-01,2019,4,3.5832667323510883
"Optical, photographic, instruments",2014-01-01,2014,1,8.606559887160127
"Optical, photographic, instruments",2014-02-01,2014,2,8.40711452183238
"Optical, photographic, instruments",2014-03-01,2014,3,7.967813993117155
"Optical, photographic, instruments",2014-04-01,2014,4,7.777670714946436
"Optical, photographic, instruments",2014-05-01,2014,5,7.899406908762213
"Optical, photographic, instruments",2014-06-01,2014,6,9.18641285037255
"Optical, photographic, instruments",2014-07-01,2014,7,6.0938907123504675
"Optical, photographic, instruments",2014-08-01,2014,8,10.005082123523028
"Optical, photographic, instruments",2014-09-01,2014,9,6.715392576724456
"Optical, photographic, instruments",2014-10-01,2014,10,7.464683025638608
"Optical, photographic, instruments",2014-11-01,2014,11,6.894046471147231
"Optical, photographic, instruments",2014-12-01,2014,12,8.414294793911548
"Optical, photographic, instruments",2015-01-01,2015,1,13.371105236413305
"Optical, photographic, instruments",2015-02-01,2015,2,7.796776130343958
"Optical, photographic, instruments",2015-03-01,2015,3,9.354438305402908
"Optical, photographic, instruments",2015-04-01,2015,4,12.431383714489387
"Optical, photographic, instruments",2015-05-01,2015,5,12.590227714507044
"Optical, photographic, instruments",2015-06-01,2015,6,9.443877403188635
"Optical, photographic, instruments",2015-07-01,2015,7,8.062781165825498
"Optical, photographic, instruments",2015-08-01,2015,8,10.075158645549806
"Optical, photographic, instruments",2015-09-01,2015,9,10.986055489656897
"Optical, photographic, instruments",2015-10-01,2015,10,7.1761746942968925
"Optical, photographic, instruments",2015-11-01,2015,11,9.684814813129206
"Optical, photographic, instruments",2015-12-01,2015,12,8.625616707922784
"Optical, photographic, instruments",2016-01-01,2016,1,10.986738384344243
"Optical, photographic, instruments",2016-02-01,2016,2,9.640079167289956
"Optical, photographic, instruments",2016-03-01,2016,3,6.816362481723764
"Optical, photographic, instruments",2016-04-01,2016,4,6.902100102595031
"Optical, photographic, instruments",2016-05-01,2016,5,11.941056954724367
"Optical, photographic, instruments",2016-06-01,2016,6,6.9999523080000365
"Optical, photographic, instruments",2016-07-01,2016,7,9.03686215933383
"Optical, photographic, instruments",2016-08-01,2016,8,10.86364600592707
"Optical, photographic, instruments",2016-09-01,2016,9,8.480651281658513
"Optical, photographic, instruments",2016-10-01,2016,10,9.30748915487177
"Optical, photographic, instruments",2016-11-01,2016,11,8.350067518144211
"Optical, photographic, instruments",2016-12-01,2016,12,14.64286941454198
"Optical, photographic, instruments",2017-01-01,2017,1,12.382152631097995
"Optical, photographic, instruments",2017-02-01,2017,2,8.882157509697418
"Optical, photographic, instruments",2017-03-01,2017,3,11.473211501236174
"Optical, photographic, instruments",2017-04-01,2017,4,7.528186643677763
"Optical, photographic, instruments",2017-05-01,2017,5,11.512761006634888
"Optical, photographic, instruments",2017-06-01,2017,6,10.548967132637152
"Optical, photographic, instruments",2017-07-01,2017,7,8.013859437962445
"Optical, photographic, instruments",2017-08-01,2017,8,10.354114498131652
"Optical, photographic, instruments",2017-09-01,2017,9,12.40875681665508
"Optical, photographic, instruments",2017-10-01,2017,10,13.384174220288536
"Optical, photographic, instruments",2017-11-01,2017,11,7.9336724598365365
"Optical, photographic, instruments",2017-12-01,2017,12,9.833323915059724
"Optical, photographic, instruments",2018-01-01,2018,1,10.412957854933683
"Optical, photographic, instruments",2018-02-01,2018,2,8.51822019629205
"Optical, photographic, instruments",2018-03-01,2018,3,8.277765341121839
"Optical, photographic, instruments",2018-04-01,2018,4,9.726248463402953
"Optical, photographic, instruments",2018-05-01,2018,5,12.683263177330318
"Optical, photographic, instruments",2018-06-01,2018,6,7.991476910085977
"Optical, photographic, instruments",2018-07-01,2018,7,12.025675644438033
"Optical, photographic, instruments",2018-08-01,2018,8,11.148929857709266
"Optical, photographic, instruments",2018-09-01,2018,9,8.078173447818441
"Optical, photographic, instruments",2018-10-01,2018,10,8.932561966459991
"Optical, photographic, instruments",2018-11-01,2018,11,8.166596352482534
"Optical, photographic, instruments",2018-12-01,2018,12,6.482127745258496
"Optical, photographic, instruments",2019-01-01,2019,1,7.103731171443729
"Optical, photographic, instruments",2019-02-01,2019,2,6.635759471750721
"Optical, photographic, instruments",2019-03-01,2019,3,7.170142543288338
"Optical, photographic, instruments",2019-04-01,2019,4,7.306564743287021
Paper and pulp of wood,2014-01-01,2014,1,5.184101607586373
Paper and pulp of wood,2014-02-01,2014,2,5.927198310185031
Paper and pulp of wood,2014-03-01,2014,3,4.22322878166749
Paper and pulp of wood,2014-04-01,2014,4,6.385100131744235
Paper and pulp of wood,2014-05-01,2014,5,5.133932955425051
Paper and pulp of wood,2014-06-01,2014,6,5.037892398590431
Paper and pulp of wood,2014-07-01,2014,7,4.969937264368416
Paper and pulp of wood,2014-08-01,2014,8,4.289163681316658
Paper and pulp of wood,2014-09-01,2014,9,5.927523896701986
Paper and pulp of wood,2014-10-01,2014,10,5.934910048361131
Paper and pulp of wood,2014-11-01,2014,11,5.243652879024321
Paper and pulp of wood,2014-12-01,2014,12,5.211491281665568
Paper and pulp of wood,2015-01-01,2015,1,4.9435757185926885
Paper and pulp of wood,2015-02-01,2015,2,3.418276909429079
Paper and pulp of wood,2015-03-01,2015,3,5.441186519193524
Paper and pulp of wood,2015-04-01,2015,4,4.190321328506361
Paper and pulp of wood,2015-05-01,2015,5,7.548345793339744
Paper and pulp of wood,2015-06-01,2015,6,5.56134748711866
Paper and pulp of wood,2015-07-01,2015,7,4.676616726926131
Paper and pulp of wood,2015-08-01,2015,8,5.364450806857435
Paper and pulp of wood,2015-09-01,2015,9,4.594644894568255
Paper and pulp of wood,2015-10-01,2015,10,5.072374446481644
Paper and pulp of wood,2015-11-01,2015,11,4.169566240736394
Paper and pulp of wood,2015-12-01,2015,12,3.347867833142659
Paper and pulp of wood,2016-01-01,2016,1,3.3199961093180046
Paper and pulp of wood,2016-02-01,2016,2,4.084562140786335
Paper and pulp of wood,2016-03-01,2016,3,5.044246690472302
Paper and pulp of wood,2016-04-01,2016,4,4.244866899708041
Paper and pulp of wood,2016-05-01,2016,5,4.867836333660408
Paper and pulp of wood,2016-06-01,2016,6,4.7754663084055435
Paper and pulp of wood,2016-07-01,2016,7,5.144705298438412
Paper and pulp of wood,2016-08-01,2016,8,4.456251909817996
Paper and pulp of wood,2016-09-01,2016,9,4.074845697419833
Paper and pulp of wood,2016-10-01,2016,10,4.143512502140044
Paper and pulp of wood,2016-11-01,2016,11,4.572526633649699
Paper and pulp of wood,2016-12-01,2016,12,5.403082857820259
Paper and pulp of wood,2017-01-01,2017,1,3.814675621660919
Paper and pulp of wood,2017-02-01,2017,2,3.861271955225881
Paper and pulp of wood,2017-03-01,2017,3,3.632234990451586
Paper and pulp of wood,2017-04-01,2017,4,4.464011390471846
Paper and pulp of wood,2017-05-01,2017,5,3.518300052998612
Paper and pulp of wood,2017-06-01,2017,6,4.1037186952069
Paper and pulp of wood,2017-07-01,2017,7,4.100544547024941
Paper and pulp of wood,2017-08-01,2017,8,3.3526681430293888
Paper and pulp of wood,2017-09-01,2017,9,5.287797704825715
Paper and pulp of wood,2017-10-01,2017,10,4.287373370503365
Paper and pulp of wood,2017-11-01,2017,11,3.651179294430258
Paper and pulp of wood,2017-12-01,2017,12,3.74207768555985
Paper and pulp of wood,2018-01-01,2018,1,3.4335729905206676
Paper and pulp of wood,2018-02-01,2018,2,3.0251114503148786
Paper and pulp of wood,2018-03-01,2018,3,4.266450674813658
Paper and pulp of wood,2018-04-01,2018,4,5.473298770021238
Paper and pulp of wood,2018-05-01,2018,5,4.3668750632481
Paper and pulp of wood,2018-06-01,2018,6,5.921686189921128
Paper and pulp of wood,2018-07-01,2018,7,5.470538806058087
Paper and pulp of wood,2018-08-01,2018,8,3.9749609563293378
Paper and pulp of wood,2018-09-01,2018,9,2.648998002462279
Paper and pulp of wood,2018-10-01,2018,10,4.215946022432147
Paper and pulp of wood,2018-11-01,2018,11,4.775926132582636
Paper and pulp of wood,2018-12-01,2018,12,3.937346736465439
Paper and pulp of wood,2019-01-01,2019,1,4.556334132945684
Paper and pulp of wood,2019-02-01,2019,2,3.165604051954197
Paper and pulp of wood,2019-03-01,2019,3,3.552976828519808
Paper and pulp of wood,2019-04-01,2019,4,4.018582765227849
Plastics,2014-01-01,2014,1,10.092697871758707
Plastics,2014-02-01,2014,2,9.76783026210302
Plastics,2014-03-01,2014,3,9.061027790702322
Plastics,2014-04-01,2014,4,9.572832199692971
Plastics,2014-05-01,2014,5,10.206143661329627
Plastics,2014-06-01,2014,6,14.1027728403767
Plastics,2014-07-01,2014,7,9.211091932329017
Plastics,2014-08-01,2014,8,8.489169987277531
Plastics,2014-09-01,2014,9,13.008846643571339
Plastics,2014-10-01,2014,10,10.665637787221618
Plastics,2014-11-01,2014,11,10.471134316779892
Plastics,2014-12-01,2014,12,9.47037637860495
Plastics,2015-01-01,2015,1,9.80265718613828
Plastics,2015-02-01,2015,2,13.353796185499318
Plastics,2015-03-01,2015,3,9.039797042358797
Plastics,2015-04-01,2015,4,13.531920330347704
Plastics,2015-05-01,2015,5,10.145895571575853
Plastics,2015-06-01,2015,6,14.23779217048668
Plastics,2015-07-01,2015,7,12.534809591406386
Plastics,2015-08-01,2015,8,11.489931831366007
Plastics,2015-09-01,2015,9,13.557438226374057
Plastics,2015-10-01,2015,10,13.162350442141621
Plastics,2015-11-01,2015,11,13.14688660929093
Plastics,2015-12-01,2015,12,16.019810080862005
Plastics,2016-01-01,2016,1,13.298785174204443
Plastics,2016-02-01,2016,2,13.189845790928432
Plastics,2016-03-01,2016,3,15.539968527516246
Plastics,2016-04-01,2016,4,15.780003078578364
Plastics,2016-05-01,2016,5,13.057723345938859
Plastics,2016-06-01,2016,6,12.759243078268916
Plastics,2016-07-01,2016,7,11.450160988856547
Plastics,2016-08-01,2016,8,13.901546543364462
Plastics,2016-09-01,2016,9,10.619581833758714
Plastics,2016-10-01,2016,10,13.860260342342857
Plastics,2016-11-01,2016,11,12.049887676508751
Plastics,2016-12-01,2016,12,12.738448271189462
Plastics,2017-01-01,2017,1,9.082372659180448
Plastics,2017-02-01,2017,2,12.035168217769503
Plastics,2017-03-01,2017,3,13.506703674173039
Plastics,2017-04-01,2017,4,13.430770577707975
Plastics,2017-05-01,2017,5,14.029708436416316
Plastics,2017-06-01,2017,6,9.127044995868705
Plastics,2017-07-01,2017,7,12.563886025902043
Plastics,2017-08-01,2017,8,16.708652731866508
Plastics,2017-09-01,2017,9,12.39201301063627
Plastics,2017-10-01,2017,10,12.311976393218268
Plastics,2017-11-01,2017,11,14.890449410237007
Plastics,2017-12-01,2017,12,16.648261033790604
Plastics,2018-01-01,2018,1,16.791816892324448
Plastics,2018-02-01,2018,2,18.454397864636114
Plastics,2018-03-01,2018,3,11.929720798900686
Plastics,2018-04-01,2018,4,12.954199879412169
Plastics,2018-05-01,2018,5,16.648173939910862
Plastics,2018-06-01,2018,6,14.936567504934063
Plastics,2018-07-01,2018,7,15.76875770132005
Plastics,2018-08-01,2018,8,17.870854931979924
Plastics,2018-09-01,2018,9,15.974284834114647
Plastics,2018-10-01,2018,10,16.383532169911636
Plastics,2018-11-01,2018,11,16.88593599451401
Plastics,2018-12-01,2018,12,16.310422634818305
Plastics,2019-01-01,2019,1,15.581960559646522
Plastics,2019-02-01,2019,2,16.75959317167271
Plastics,2019-03-01,2019,3,14.603978487685104
Plastics,2019-04-01,2019,4,17.345620482066973
Precious stones and metals,2014-01-01,2014,1,2.4309313798894463
Precious stones and metals,2014-02-01,2014,2,2.8109613003375062
Precious stones and metals,2014-03-01,2014,3,1.371796083153381
Precious stones and metals,2014-04-01,2014,4,3.7060240713003
Precious stones and metals,2014-05-01,2014,5,4.02158666081106
Precious stones and metals,2014-06-01,2014,6,3.1136088262274377
Precious stones and metals,2014-07-01,2014,7,3.595651538111932
Precious stones and metals,2014-08-01,2014,8,2.690986147931178
Precious stones and metals,2014-09-01,2014,9,2.1216497844429836
Precious stones and metals,2014-10-01,2014,10,3.2353654631799924
Precious stones and metals,2014-11-01,2014,11,2.533433486840304
Precious stones and metals,2014-12-01,2014,12,2.365881441536024
Precious stones and metals,2015-01-01,2015,1,5.589796462734382
Precious stones and metals,2015-02-01,2015,2,2.5973097105417353
Precious stones and metals,2015-03-01,2015,3,3.958342675607505
Precious stones and metals,2015-04-01,2015,4,3.316557196021919
Precious stones and metals,2015-05-01,2015,5,6.022847957730815
Precious stones and metals,2015-06-01,2015,6,1.3023809028389246
Precious stones and metals,2015-07-01,2015,7,3.41045246966328
Precious stones and metals,2015-08-01,2015,8,1.7127114658282365
Precious stones and metals,2015-09-01,2015,9,3.3249924589774333
Precious stones and metals,2015-10-01,2015,10,3.8359285113511725
Precious stones and metals,2015-11-01,2015,11,3.124958489450788
Precious stones and metals,2015-12-01,2015,12,4.820727346457032
Precious stones and metals,2016-01-01,2016,1,3.118776269913952
Precious stones and metals,2016-02-01,2016,2,2.00856425028119
Precious stones and metals,2016-03-01,2016,3,3.4651461480216965
Precious stones and metals,2016-04-01,2016,4,2.5573213370220333
Precious stones and metals,2016-05-01,2016,5,3.472852565976781
Precious stones and metals,2016-06-01,2016,6,1.898992805019448
Precious stones and metals,2016-07-01,2016,7,4.714430000017612
Precious stones and metals,2016-08-01,2016,8,4.536806759351721
Precious stones and metals,2016-09-01,2016,9,2.5196187518818443
Precious stones and metals,2016-10-01,2016,10,2.7856650072522546
Precious stones and metals,2016-11-01,2016,11,5.849290210622887
Precious stones and metals,2016-12-01,2016,12,7.181402047317857
Precious stones and metals,2017-01-01,2017,1,4.38695957270526
Precious stones and metals,2017-02-01,2017,2,2.45634881714185
Precious stones and metals,2017-03-01,2017,3,3.9867415911814197
Precious stones and metals,2017-04-01,2017,4,2.5771551944567754
Precious stones and metals,2017-05-01,2017,5,2.6926102215033145
Precious stones and metals,2017-06-01,2017,6,4.295561527542196
Precious stones and metals,2017-07-01,2017,7,3.769088883718837
Precious stones and metals,2017-08-01,2017,8,2.642792777258814
Precious stones and metals,2017-09-01,2017,9,7.275090446416277
Precious stones and metals,2017-10-01,2017,10,3.079948518375097
Precious stones and metals,2017-11-01,2017,11,4.547912876066464
Precious stones and metals,2017-12-01,2017,12,3.025291488035271
Precious stones and metals,2018-01-01,2018,1,4.543781097449351
Precious stones and metals,2018-02-01,2018,2,6.1491475156281306
Precious stones and metals,2018-03-01,2018,3,3.5609347756035157
Precious stones and metals,2018-04-01,2018,4,3.5199112941817
Precious stones and metals,2018-05-01,2018,5,3.6303855024733664
Precious stones and metals,2018-06-01,2018,6,3.633492527848971
Precious stones and metals,2018-07-01,2018,7,4.290140493978369
Precious stones and metals,2018-08-01,2018,8,4.573564707499752
Precious stones and metals,2018-09-01,2018,9,1.0975370391274728
Precious stones and metals,2018-10-01,2018,10,4.338092340986112
Precious stones and metals,2018-11-01,2018,11,2.602055272494325
Precious stones and metals,2018-12-01,2018,12,5.227188027371838
Precious stones and metals,2019-01-01,2019,1,2.1669318468206367
Precious stones and metals,2019-02-01,2019,2,4.202700071286126
Precious stones and metals,2019-03-01,2019,3,2.4360719137807174
Precious stones and metals,2019-04-01,2019,4,1.8027953287096508
Skins and leather,2014-01-01,2014,1,10.457296497760758
Skins and leather,2014-02-01,2014,2,5.481820247649643
Skins and leather,2014-03-01,2014,3,5.827323853516625
Skins and leather,2014-04-01,2014,4,8.349298866392715
Skins and leather,2014-05-01,2014,5,10.67108827007663
Skins and leather,2014-06-01,2014,6,9.206585696941643
Skins and leather,2014-07-01,2014,7,12.046492325486922
Skins and leather,2014-08-01,2014,8,10.009756101170513
Skins and leather,2014-09-01,2014,9,11.097497416691448
Skins and leather,2014-10-01,2014,10,10.641251545140012
Skins and leather,2014-11-01,2014,11,10.248212640741006
Skins and leather,2014-12-01,2014,12,11.791675550277011
Skins and leather,2015-01-01,2015,1,12.826846758546226
Skins and leather,2015-02-01,2015,2,9.35207972188311
Skins and leather,2015-03-01,2015,3,11.180015143042414
Skins and leather,2015-04-01,2015,4,8.66228372723601
Skins and leather,2015-05-01,2015,5,9.774795847409642
Skins and leather,2015-06-01,2015,6,10.108992505690194
Skins and leather,2015-07-01,2015,7,9.039593696187199
Skins and leather,2015-08-01,2015,8,9.832559407759117
Skins and leather,2015-09-01,2015,9,8.44163351116266
Skins and leather,2015-10-01,2015,10,10.507568987111755
Skins and leather,2015-11-01,2015,11,9.61483252035635
Skins and leather,2015-12-01,2015,12,7.604457638236976
Skins and leather,2016-01-01,2016,1,9.902986064429717
Skins and leather,2016-02-01,2016,2,10.939073644139869
Skins and leather,2016-03-01,2016,3,10.30564951367455
Skins and leather,2016-04-01,2016,4,8.34290220747513
Skins and leather,2016-05-01,2016,5,8.101692587003292
Skins and leather,2016-06-01,2016,6,10.444123555516226
Skins and leather,2016-07-01,2016,7,7.50139107674109
Skins and leather,2016-08-01,2016,8,8.526004393626188
Skins and leather,2016-09-01,2016,9,6.699859739054001
Skins and leather,2016-10-01,2016,10,7.854066978986974
Skins and leather,2016-11-01,2016,11,8.50889901748725
Skins and leather,2016-12-01,2016,12,10.23169900938224
Skins and leather,2017-01-01,2017,1,8.271129670404449
Skins and leather,2017-02-01,2017,2,6.480410929899491
Skins and leather,2017-03-01,2017,3,9.050246722638517
Skins and leather,2017-04-01,2017,4,7.318382413429944
Skins and leather,2017-05-01,2017,5,9.629856391161386
Skins and leather,2017-06-01,2017,6,9.745987134792626
Skins and leather,2017-07-01,2017,7,8.242137728740639
Skins and leather,2017-08-01,2017,8,12.094329718247414
