year,p10,p25,p50,p75,p90
2014,0.0,0.0,0.0,6.25,16.871234893798828
2015,0.0,0.0,0.0,6.896551609039307,18.18181800842285
2016,0.0,0.0,0.0,6.666666507720947,18.518518447875977
2017,0.0,0.0,0.0,7.142857074737549,20.0
2018,0.0,0.0,0.0,7.692307472229004,20.0
2019,0.0,0.0,0.0,7.142857074737549,19.408602523803744
