year,n_obs,share_nonzero,mean_share,median_share,p90,p10,p90_p10_spread
2014,27526,0.3337208457458403,5.174974,0.0,16.871234893798828,0.0,16.871234893798828
2015,27850,0.3415798922800718,5.489434,0.0,18.18181800842285,0.0,18.18181800842285
2016,27962,0.34318003004076963,5.53446,0.0,18.518518447875977,0.0,18.518518447875977
2017,28444,0.3483335677119955,5.855988,0.0,20.0,0.0,20.0
2018,28514,0.35249351195903766,5.949972,0.0,20.0,0.0,20.0
2019,9455,0.3379164463246959,5.6377387,0.0,19.408602523803744,0.0,19.408602523803744
