hs6,hs_section_name,weight_2014
020329,Live animals,0.00023392365196961236
030339,Live animals,0.00025317849341517125
030343,Live animals,1.4749178206131523e-05
030510,Live animals,0.0006246470816638838
030549,Live animals,0.000680476513819916
030551,Live animals,0.004417987381688667
030559,Live animals,0.0064170488552385725
030611,Live animals,0.005648019961089409
030614,Live animals,0.03461070139148906
030619,Live animals,0.022708625322111937
030729,Live animals,0.12044317818245193
030731,Live animals,2.3757133444253446e-05
030739,Live animals,0.00011844180066651856
030749,Live animals,0.2483428413334719
030759,Live animals,0.014985923586594512
030760,Live animals,9.429023205652401e-05
030799,Live animals,0.0023111928536600768
041000,Live animals,0.010696906390380994
050400,Live animals,0.23792175806050847
050690,Live animals,0.0005050422029445388
050790,Live animals,0.0001260034936302564
050800,Live animals,0.007070567242538414
051000,Live animals,1.866993117841288e-05
051191,Live animals,0.0049217198576085005
051199,Live animals,0.2768103498681724
060110,Vegetable products,0.00021398389991872816
060210,Vegetable products,0.0032942092388867092
060390,Vegetable products,0.0005704271836826927
070310,Vegetable products,0.0018495850653311506
070320,Vegetable products,0.10817577516805874
070690,Vegetable products,0.0005981672145991218
070700,Vegetable products,3.808809300474855e-06
070810,Vegetable products,2.3081278117940364e-06
070890,Vegetable products,2.7774559871035955e-05
070940,Vegetable products,1.3593783821360045e-05
070951,Vegetable products,0.004176582508138907
070960,Vegetable products,0.0002424658606802986
071010,Vegetable products,3.499199674167078e-05
071021,Vegetable products,0.00221505191589903
071022,Vegetable products,0.003908783019070931
071029,Vegetable products,0.006118831777983213
071030,Vegetable products,0.015318975228967807
071040,Vegetable products,0.0013195434781712754
071080,Vegetable products,0.028857961599366835
071090,Vegetable products,0.00817181894668282
071190,Vegetable products,0.00026294772826681304
071220,Vegetable products,0.004847216259521819
071290,Vegetable products,0.10361716519150783
071310,Vegetable products,0.0033429030331026126
071331,Vegetable products,0.014739622753198157
071333,Vegetable products,0.007594725018687579
071339,Vegetable products,0.005868728820830136
071340,Vegetable products,7.818594823917581e-06
071350,Vegetable products,0.0005740376728336309
071390,Vegetable products,1.3720389988251701e-05
071420,Vegetable products,0.0015732976509345714
071490,Vegetable products,0.010615181622588975
080212,Vegetable products,0.00013855495590123497
080232,Vegetable products,0.0005853507749353203
080290,Vegetable products,0.07160707480395667
080410,Vegetable products,0.0025438817749134568
080420,Vegetable products,1.9283093111190685e-06
080430,Vegetable products,0.0002421480172263538
080450,Vegetable products,0.00030801863832243215
080520,Vegetable products,0.00042189424525789854
080620,Vegetable products,0.0013801329399281317
080810,Vegetable products,1.687934665587008e-05
080930,Vegetable products,2.5628452538550818e-05
081040,Vegetable products,0.0003530435097719089
081090,Vegetable products,0.007583634141396308
081110,Vegetable products,0.0033189124925133598
081120,Vegetable products,0.003821044060057203
081190,Vegetable products,0.006272733526170463
081290,Vegetable products,0.0001400308473712237
081320,Vegetable products,7.093044098269245e-05
081330,Vegetable products,0.00727888867089904
081340,Vegetable products,0.01768974918871233
081350,Vegetable products,0.0007517033100106625
081400,Vegetable products,0.0001341122304084914
090111,Vegetable products,0.01073862706209739
090112,Vegetable products,0.006304554171235169
090121,Vegetable products,0.0007840365772476084
090210,Vegetable products,0.013831016332022885
090230,Vegetable products,0.022031917512062748
090240,Vegetable products,0.02040012869738204
090411,Vegetable products,0.0007721099221832903
090412,Vegetable products,0.004293320476875497
090620,Vegetable products,5.797677085827415e-05
091099,Vegetable products,0.0015065469841749242
100590,Vegetable products,0.00022621511806983463
100620,Vegetable products,0.0004756753054525394
100630,Vegetable products,0.003600999885926073
100890,Vegetable products,0.00015376363236882144
110100,Vegetable products,0.0011213915466186772
110220,Vegetable products,7.642408619641782e-06
110290,Vegetable products,7.71819524821469e-05
110311,Vegetable products,1.1872648237881868e-05
110313,Vegetable products,5.4882445310817234e-05
110422,Vegetable products,2.185948433954536e-06
110423,Vegetable products,3.2705117517327083e-06
110429,Vegetable products,0.0010466248502433867
110520,Vegetable products,2.2357055429007676e-05
110610,Vegetable products,1.9585885482358142e-05
110620,Vegetable products,0.029065150378090505
110630,Vegetable products,0.0006087463550759637
110812,Vegetable products,0.0009495896342201312
110820,Vegetable products,0.0009947003853772198
120400,Vegetable products,0.0012824239666111383
120600,Vegetable products,0.0055410047737209376
120740,Vegetable products,0.0008756029380758304
120799,Vegetable products,0.01682116094056855
120810,Vegetable products,0.005952764328122831
120890,Vegetable products,4.3595903943440796e-05
120929,Vegetable products,0.0003582272797519833
120930,Vegetable products,0.0027263283442668165
120991,Vegetable products,0.07777482702775526
120999,Vegetable products,0.002457977277282942
121190,Vegetable products,0.06713682265152898
121299,Vegetable products,0.0337740330211637
121410,Vegetable products,1.6887314876163964e-05
121490,Vegetable products,0.00016665178601526787
130120,Vegetable products,2.8127817637397986e-06
130190,Vegetable products,0.0031857936335681716
130212,Vegetable products,0.006391045661094
130219,Vegetable products,0.13723062706409833
130220,Vegetable products,0.0014193427812786968
130231,Vegetable products,0.003899407965216275
130232,Vegetable products,0.021373519405619993
130239,Vegetable products,0.008736599318250583
140110,Vegetable products,0.010235025800588231
140190,Vegetable products,0.0002870586775182849
140490,Vegetable products,0.010290110107479829
150420,Fats and oils,0.16993703220438233
150790,Fats and oils,0.0020892756036108855
150890,Fats and oils,0.0026208116499537096
150910,Fats and oils,0.0013437002891820912
150990,Fats and oils,0.0019025579455607684
151000,Fats and oils,0.00016356984972298912
